Timestamp,How much have you currently spent?,How often do you play?,What are your spending habits?,When do you usually spend(orbs) on a banner? (just any given banner in general),How fast do you complete quests,How do you go about getting orb rewards,Have you let pity rates over 4.25 die?,"There's a new deal, you can buy a character you really want for a bulk sum of orbs, how many orbs are you willing to pay?"," Orb prices have decreased by 15% for a week, will you buy?","Your pity rate is 4.75 but this week orbs are 30% more expensive, will you buy?","Your pity rate is at 4.75 but the one time deals are 2 or 1, what do you choose"
2018/03/23 11:12:31 PM EST,1,2,2,1,1,0,2,60,1,0,2
2018/03/23 11:13:17 PM EST,1,2,0,4,1,0,1,60,1,0,0
2018/03/23 11:17:47 PM EST,1,2,1,0,0,0,1,80,0,0,0
2018/03/23 11:20:33 PM EST,0,2,0,2,0,2,1,100,0,0,0
2018/03/23 11:23:55 PM EST,1,2,1,4,1,0,0,50,1,1,2
2018/03/23 11:25:25 PM EST,1,0,1,3,0,0,1,50,1,0,0
2018/03/23 11:25:30 PM EST,0,2,0,0,2,2,0,10,0,0,0
2018/03/23 11:27:18 PM EST,1,2,2,4,1,0,1,100,1,0,0
2018/03/23 11:31:48 PM EST,0,2,0,1,0,0,1,20,1,0,0
2018/03/23 11:33:12 PM EST,0,2,0,2,1,0,1,100,0,0,0
2018/03/23 11:33:41 PM EST,0,2,0,2,1,1,1,20,0,0,0
2018/03/23 11:35:46 PM EST,1,2,1,0,1,0,0,23,1,0,2
2018/03/23 11:39:27 PM EST,0,1,0,1,0,1,0,200,0,0,0
2018/03/23 11:40:43 PM EST,1,2,1,2,1,0,0,50,1,0,1
2018/03/23 11:45:23 PM EST,1,2,1,0,1,1,1,50,1,0,1
2018/03/23 11:48:55 PM EST,1,2,1,3,0,0,1,5,1,0,1
2018/03/23 11:50:04 PM EST,1,2,1,3,1,0,1,40,0,0,0
2018/03/23 11:58:22 PM EST,0,2,0,2,0,1,0,50,0,0,0
2018/03/24 12:08:11 AM EST,0,2,0,2,0,1,0,40,0,0,0
2018/03/24 12:09:41 AM EST,1,2,0,2,0,1,0,100,0,0,0
2018/03/24 12:10:04 AM EST,1,2,0,0,0,0,1,100,0,0,0
2018/03/24 12:14:05 AM EST,1,2,2,1,1,0,2,20,1,1,1
2018/03/24 12:15:04 AM EST,1,2,1,2,1,1,0,50,1,1,1
2018/03/24 12:19:55 AM EST,1,2,1,1,1,0,2,40,1,0,2
2018/03/24 12:20:07 AM EST,1,2,0,1,1,0,0,30,0,0,0
2018/03/24 12:29:02 AM EST,0,2,0,1,0,0,1,0,0,0,0
2018/03/24 12:30:27 AM EST,1,2,2,1,1,0,2,30,1,0,2
2018/03/24 12:33:06 AM EST,0,2,0,4,1,0,1,120,0,0,0
2018/03/24 12:40:17 AM EST,1,2,1,1,1,0,2,0,1,0,1
2018/03/24 12:41:11 AM EST,1,2,1,3,1,0,0,50,1,0,2
2018/03/24 12:42:31 AM EST,1,2,1,1,0,0,2,50,0,0,1
2018/03/24 12:46:21 AM EST,0,2,0,1,0,0,0,0,0,0,0
2018/03/24 12:46:43 AM EST,1,2,1,2,1,0,2,300,1,0,2
2018/03/24 12:54:07 AM EST,1,2,2,2,1,0,1,20,0,0,0
2018/03/24 12:55:04 AM EST,1,2,1,3,0,1,1,250,0,0,0
2018/03/24 12:57:29 AM EST,1,2,1,3,0,1,0,10,0,0,0
2018/03/24 12:59:14 AM EST,1,2,0,2,1,0,0,20,0,0,2
2018/03/24 1:07:37 AM EST,1,2,1,1,1,0,0,200,1,0,1
2018/03/24 1:16:18 AM EST,0,2,0,2,1,0,1,100,0,0,0
2018/03/24 1:25:13 AM EST,1,2,1,1,0,1,0,25,0,0,0
2018/03/24 1:29:05 AM EST,0,2,0,1,0,1,0,40,0,0,0
2018/03/24 1:34:01 AM EST,0,2,0,2,0,1,1,0,0,0,0
